id_oferta,titulo,quality_score,quality_pct,confidence_score,processing_time_ms,processed_at
1118036631,Responsable de Desarrollo Comercial,22.0,91.7,1.00,14543,2025-11-22T14:27:25.547533
2167979,Business Development & Sales Specialist (Bilingüe) / Solucions SaaS,22.0,91.7,1.00,14415,2025-11-22T14:40:19.253800
1118007292,Sr Backend Engineer (Java o Go),22.0,91.7,1.00,17080,2025-11-22T19:00:57.478543
1118026158,Ejecutivo de cuentas comerciales - Córdoba y Santa Fe (Rosario),22.0,91.7,1.00,15217,2025-11-22T19:25:04.954919
1118018355,Gerente de Adm y Fin,22.0,91.7,1.00,19405,2025-11-22T23:22:28.600522
2166192,Analista QA Senior,22.0,91.7,1.00,19239,2025-11-23T04:01:35.744541
1117983086,Java/Angular Developer Sr.,22.0,91.7,1.00,20710,2025-11-23T10:45:25.441428
1117946923,Gerente Comercial Servicios Financieros / Fintech,22.0,91.7,1.00,14881,2025-11-23T13:18:11.572857
1117964405,Desarrollador PYTHON Sr para Proyectos Bancarios,22.0,91.7,1.00,15606,2025-11-23T15:31:05.706206
1117965588,Desarrollador PYTHON Sr para Proyectos Bancarios,22.0,91.7,1.00,15218,2025-11-23T15:42:10.965346
1117959647,Recruiter - Headhunter,22.0,91.7,1.00,15221,2025-11-23T16:31:35.328394
1117951568,Desarrollador PYTHON Sr para Proyectos Bancarios,22.0,91.7,1.00,15159,2025-11-23T19:31:50.235622
1118035500,Proyect Manager - IT,21.0,87.5,1.00,15112,2025-11-22T14:09:34.720984
1118036459,BACKEND Engineering Manager // Plataforma de Streaming // REMOTO para residentes en BUENOS AIRES,21.0,87.5,1.00,17394,2025-11-22T14:25:21.081052
1118034598,PM – Gerente de Proyecto y Construcción,21.0,87.5,1.00,14693,2025-11-22T15:09:39.203916
1118019984,Gerentes de Sucursal para AMBA (zona sur/oeste),21.0,87.5,1.00,20071,2025-11-22T22:38:44.323574
1118017580,Senior Civil Engineer,21.0,87.5,1.00,14826,2025-11-23T00:26:33.163016
1118007589,Software Engineer -Python/Django,21.0,87.5,1.00,13976,2025-11-23T03:29:29.153741
2165905,Travel Designer Sales Executive - DMC (ref TRV 054),21.0,87.5,1.00,17102,2025-11-23T03:58:05.381730
1118009800,Desarrollador Front end- Rosario,21.0,87.5,1.00,14337,2025-11-23T04:28:12.728482
2166053,Software Engineer -Python/Django,21.0,87.5,1.00,14134,2025-11-23T04:37:28.950061
1118006069,Científico de datos IA,21.0,87.5,1.00,15968,2025-11-23T05:44:34.037279
2165536,Desarrollador/a Python,21.0,87.5,1.00,14656,2025-11-23T07:25:55.921551
1117998811,Diseñador Gráfico - Redes Sociales,21.0,87.5,1.00,14833,2025-11-23T07:42:37.222820
1117994780,COORDINADOR DE SISTEMAS,21.0,87.5,1.00,16360,2025-11-23T08:49:19.542269
2163709,Sr. Backend developer,21.0,87.5,1.00,18175,2025-11-23T10:02:27.732241
2163987,SRE - Remoto - Parque Patricios - 1711,21.0,87.5,1.00,21553,2025-11-23T13:43:07.177924
1117974262,Contador/a para Área Impositiva y Contable - Estudio Contable La Plata -,21.0,87.5,1.00,16235,2025-11-23T13:55:31.661105
1118035452,Diseñador Industrial para rubro Muebleria - Boulogne,20.0,83.3,1.00,15373,2025-11-22T14:08:06.081283
1118035966,Analista SR. de impuestos - INGLÉS INTERMEDIO- Excluyente Contadores Públicos graduados,20.0,83.3,1.00,13818,2025-11-22T14:17:20.219843
1118033778,Analista Jr. de Costos,20.0,83.3,1.00,17718,2025-11-22T14:53:22.302702
1118034134,Analista SR. de impuestos - INGLÉS INTERMEDIO,20.0,83.3,1.00,13478,2025-11-22T15:01:17.763832
2167710,Paid Media Specialist - Campaign Strategist Semi Senior / Senior,20.0,83.3,1.00,13393,2025-11-22T16:15:45.959666
2164884,Agentes Inmobiliarios - Emprendedores - Ventas (CABA),20.0,83.3,1.00,20398,2025-11-22T16:54:42.395241
1118028809,Analista de Sistema Integrado de Gestión (San Martín),20.0,83.3,1.00,19833,2025-11-22T17:25:28.718864
1118020544,Senior AI Developer,20.0,83.3,1.00,25454,2025-11-22T22:46:22.622258
1118020585,Sr Cloud Infrastructure Engineer,20.0,83.3,1.00,25185,2025-11-22T22:48:06.825996
1118016380,GERENTE DE OPERACIONES (EMPRESA DE VIANDAS),20.0,83.3,1.00,14484,2025-11-23T00:02:21.813277
1118005460,Travel Designer Sales Executive - DMC (ref TRV 054),20.0,83.3,1.00,73575,2025-11-23T01:18:14.905150
2166231,Sr Software Engineer Backend,20.0,83.3,1.00,16227,2025-11-23T03:18:40.262745
2166232,Ssr/Sr Fullstack Nextjs,20.0,83.3,1.00,15220,2025-11-23T03:18:55.997980
1118010579,Sr Software Engineer Backend,20.0,83.3,1.00,17578,2025-11-23T03:33:22.788425
2166204,Desarrollador/a Fullstack Senior,20.0,83.3,1.00,21799,2025-11-23T04:02:51.657988
1118006375,Programador Sr,20.0,83.3,1.00,16328,2025-11-23T04:11:32.632848
1118003077,Gerentes de Sucursal para AMBA,20.0,83.3,1.00,13414,2025-11-23T06:38:46.835799
1117968987,Backend PHP Sr,20.0,83.3,1.00,15281,2025-11-23T07:32:51.408329
1117990871,Jefatura de Desarrollo de Productos,20.0,83.3,1.00,14861,2025-11-23T09:53:26.259442
1117989107,Analista funcional Sr. - On Site - Vicente López - 1700,20.0,83.3,1.00,18987,2025-11-23T10:21:21.757461
1117987756,Analista de Growth Marketing,20.0,83.3,1.00,16863,2025-11-23T11:00:59.881901
1117985724,Analista Funcional / Implementador ERP Sr,20.0,83.3,1.00,14675,2025-11-23T11:18:18.403396
2164392,Analista de Cuentas a Pagar Junior,20.0,83.3,1.00,15356,2025-11-23T11:33:46.664586
